Entity,Project,PWS ID,County,Estimated Loan Amount,Est. LSL Related Costs,Loan Type,Estimated Award Date,Rate,District Office
Cincinnati,Southern Hawthorne Water Main Replacement,OH3102612,Hamilton,"$2,253,355.00","$7 0,000.00",Construction,Oct-25,STD/LSL PF,SWDO
Circleville,Utility Improvements for Walnut Street,OH6500412,Pickaway,"$1,701,000.00","$4 64,000.00",Construction,Sep-25,STD/LSL PF,CO
Cleveland,CWD LSLR Year 3-1,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Sep-25,LSL PF,NEDO
Cleveland,CWD LSLR Year 3-2,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Sep-25,LSL PF,NEDO
Cleveland,CWD LSLR Year 3-3,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Sep-25,LSL PF,NEDO
Cleveland,CWD LSLR Year 3-4,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Sep-25,LSL PF,NEDO
Cleveland,CWD LSLR Year 3-5,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Sep-25,LSL PF,NEDO
Cleveland,CWD LSLR Year 3-6,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Sep-25,LSL PF,NEDO
Cleveland,CWD LSLR Year 3-7,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Sep-25,LSL PF,NEDO
Cleveland,CWD LSLR Year 3-8,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Sep-25,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-1,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-10,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-11,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-12,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-13 Tree Lawn / Small Work,OH1801212,Cuyahoga,"$2,092,160.00","$2 ,092,160.00",Construction,Feb-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-14 Tree Lawn / Small Work,OH1801212,Cuyahoga,"$2,092,160.00","$2 ,092,160.00",Construction,Feb-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-15 Tree Lawn / Small Work,OH1801212,Cuyahoga,"$2,092,160.00","$2 ,092,160.00",Construction,Feb-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-16 CA Reimbursement,OH1801212,Cuyahoga,"$3,805,200.00","$3 ,805,200.00",Construction,Feb-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-17 Filters 1,OH1801212,Cuyahoga,"$280,000.00","$2 80,000.00",Construction,Feb-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-18 Filters 2,OH1801212,Cuyahoga,"$280,000.00","$2 80,000.00",Construction,Feb-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-19 Curb Boxes / Bases,OH1801212,Cuyahoga,"$1,929,009.00","$1 ,929,009.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-2,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-20 Copper & Brass,OH1801212,Cuyahoga,"$2,780,227.00","$2 ,780,227.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-21 Curb Boxes & Bases (Group B),OH1801212,Cuyahoga,"$67,200.00","$6 7,200.00",Construction,Feb-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-22 Copper & Brass (Group B),OH1801212,Cuyahoga,"$112,000.00","$1 12,000.00",Construction,Feb-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-3,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-4,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-5,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-6,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-7,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-8,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Cleveland,CWD LSLR YEAR 4-9,OH1801212,Cuyahoga,"$7,165,200.00","$7 ,165,200.00",Construction,Jan-26,LSL PF,NEDO
Columbus,"Lead Service Line Replacements - Part 3, CIP 690236-110003",OH2504412,Franklin,"$10,000,000.00","$10,000,000.00",Construction,Sep-25,LSL PF,CO
Columbus,"Lead Service Line Replacements-Pt 2, CIP 690236-110001",OH2504412,Franklin,"$10,000,000.00","$10,000,000.00",Construction,Oct-25,LSL PF,CO
Cuyahoga Falls*,Lead Line Service Replacement,OH7701012,Summit,"$3,000,000.00","$3 ,000,000.00",Construction,Jul-25,LSL,NEDO
Delphos,"LSL Replacement 2026: Jackson, Harmon, Moening & Grant St.",OH0200412,Allen,"$2,141,127.00","$9 58,400.00",Construction,May-26,SML/LSL PF,NWDO
Delphos,Pierce Street Waterline Replacement,OH0200412,Allen,"$1,169,773.00","$5 49,710.00",Construction,May-26,SML/LSL PF,NWDO
East Liverpool,SR 39 Lead Service Line Replacement,OH1500811,Columbiana,"$1,585,000.00","$1 ,585,000.00",Construction,Mar-26,LSL PF,NEDO
Jefferson County,Amsterdam,OH4101103,Jefferson,"$7,500,000.00","$1 ,200,000.00",Construction,Oct-25,STD/LSL PF,SEDO
Jefferson County,Bergholz Water System Improvements,OH4101103,Jefferson,"$7,500,000.00","$1 ,000,000.00",Construction,Jun-26,STD/LSL PF,SEDO
Kenton,Detroit Street Waterline and LSL Phase 3,OH3300612,Hardin,"$1,453,797.00","$6 09,752.00",Construction,Feb-26,SML/LSL PF,NWDO
Kenton,Downtown Waterline Replacement Phase 2B,OH3300612,Hardin,"$4,839,599.00","$2 ,244,000.00",Construction,Jan-26,SML/LSL PF,NWDO
Lakewood,2025 Watermain & Lead Service Line Replacement,OH1801003,Cuyahoga,"$723,810.00","$7 23,810.00",Construction,Aug-25,STD/LSL PF,NEDO
Lima,Lead Service Line Replacement - Phase 3,OH0200811,Allen,"$2,374,389.00","$2 ,374,389.00",Construction,Feb-26,LSL PF,NWDO
Lockland,Lead Service Line Replacement Phase 2,OH3101212,Hamilton,"$1,854,500.00","$1 ,504,500.00",Construction,Oct-25,SML/LSL PF,SWDO
Montpelier,Main Street Waterline LSL,OH8600912,Williams,"$2,561,200.00","$8 16,700.00",Construction,Dec-25,SML/LSL PF,NWDO
Newark,Lead Service Line Replacement Project #8,OH4502314,Licking,"$3,700,000.00","$3 ,700,000.00",Construction,Jan-26,LSL PF,CO
Newark,Lead Service Line Replacement Project #9,OH4502314,Licking,"$3,800,000.00","$3 ,800,000.00",Construction,Jun-26,LSL PF,CO
North Baltimore*,Lead Service Line Replacement,OH8701611,Wood,"$264,000.00","$2 64,000.00",Construction,Feb-26,LSL,NWDO
Norwood,South Jefferson Lead Service Line Replacement,OH3101703,Hamilton,"$550,000.00","$5 50,000.00",Construction,Aug-25,LSL PF,SWDO
Pomeroy,Breezy Heights Tank/ New Wells / Water Line Replacement,OH5300212,Meigs,"$3,219,700.00","$2 50,500.00",Construction,Aug-25,DIS/LSL PF,SEDO
Port Clinton,Laurel Street Reconstruction,OH6203211,Ottawa,"$325,000.00","$7 3,000.00",Construction,Jun-26,SML/LSL PF,NWDO
Port Clinton,Water and Sanitary Sewer Infrastructure Improvements,OH6203211,Ottawa,"$5,982,189.00","$7 50,000.00",Construction,Jul-25,SML/LSL PF,NWDO
Portage County,Village of Mantua Distribution Replacement Ph 2,OH6702212,Portage,"$3,500,000.00","$2 70,000.00",Construction,Mar-26,SML/LSL PF,NEDO
Scio,2024 Water Line and LSL Replacement,OH3401312,Harrison,"$1,550,000.00","$2 20,800.00",Construction,Jan-26,SML/LSL PF,SEDO
Somerset,Water Meter Replacement,OH6401111,Perry,"$849,500.00","$2 00,000.00",Construction,Oct-25,SML/LSL PF,SEDO
Springfield,East High St Water Services,OH1204412,Clark,"$986,253.00","$9 86,253.10",Construction,Sep-25,LSL PF,SWDO
Wakeman*,Lead Service Line Replacement,OH3901411,Huron,"$315,000.00","$3 15,000.00",Construction,Aug-25,LSL,NWDO
Warren,2022 Waterline Replacement Program (Area C),OH7803811,Trumbull,"$826,090.00","$8 26,090.00",Construction,Oct-25,LSL PF,NEDO
Wellington*,Village-wide LSL Replacement,OH4701511,Lorain,"$1,085,500.00","$1,085,500.00",Construction,Jan-26,LSL,NEDO
Willard,Waterline Replacement Project,OH3901511,Huron,"$2,100,000.00","$4 92,075.00",Construction,Jun-26,SML/LSL PF,NWDO
Youngstown,Crandall Park Area Water Main & Lead Service Line Replace,OH5002303,Mahoning,"$9,000,000.00","$5 ,500,000.00",Construction,Jun-26,STD/LSL PF,NEDO
